"Product","DataType","Source","Attribute","Component","Name","Units","Description","UpperDepth_m","LowerDepth_m","Path","COGsPath","MetadataLink"
"SLGA","Soil","TERN","Bulk Density - Whole Earth","EV","Estimated value of Bulk Density - Whole Earth for 0.05 to 0.15 metres","g/cm3","Estimated value of Bulk Density - Whole Earth for 0.05 to 0.15 metres",0.05,0.15,"D:/TERNSoils/National_digital_soil_property_maps/Bulk-Density/BDW_005_015_EV_N_P_AU_NAT_C_20140801.tif","https://esoil.io/TERNLandscapes/Public/Products/TERN/SLGA/BDW/BDW_005_015_EV_N_P_AU_NAT_C_20140801.tif","https://www.clw.csiro.au/aclep/soilandlandscapegrid/index.html"
"SLGA","Soil","TERN","Bulk Density - Whole Earth","EV","Estimated value of Bulk Density - Whole Earth for 0.15 to 0.3 metres","g/cm3","Estimated value of Bulk Density - Whole Earth for 0.15 to 0.3 metres",0.15,0.3,"D:/TERNSoils/National_digital_soil_property_maps/Bulk-Density/BDW_015_030_EV_N_P_AU_NAT_C_20140801.tif","https://esoil.io/TERNLandscapes/Public/Products/TERN/SLGA/BDW/BDW_015_030_EV_N_P_AU_NAT_C_20140801.tif","https://www.clw.csiro.au/aclep/soilandlandscapegrid/index.html"
"SLGA","Soil","TERN","Bulk Density - Whole Earth","EV","Estimated value of Bulk Density - Whole Earth for 0.3 to 0.6 metres","g/cm3","Estimated value of Bulk Density - Whole Earth for 0.3 to 0.6 metres",0.3,0.6,"D:/TERNSoils/National_digital_soil_property_maps/Bulk-Density/BDW_030_060_EV_N_P_AU_NAT_C_20140801.tif","https://esoil.io/TERNLandscapes/Public/Products/TERN/SLGA/BDW/BDW_030_060_EV_N_P_AU_NAT_C_20140801.tif","https://www.clw.csiro.au/aclep/soilandlandscapegrid/index.html"
"SLGA","Soil","TERN","Bulk Density - Whole Earth","EV","Estimated value of Bulk Density - Whole Earth for 0.6 to 1 metres","g/cm3","Estimated value of Bulk Density - Whole Earth for 0.6 to 1 metres",0.6,1,"D:/TERNSoils/National_digital_soil_property_maps/Bulk-Density/BDW_060_100_EV_N_P_AU_NAT_C_20140801.tif","https://esoil.io/TERNLandscapes/Public/Products/TERN/SLGA/BDW/BDW_060_100_EV_N_P_AU_NAT_C_20140801.tif","https://www.clw.csiro.au/aclep/soilandlandscapegrid/index.html"
"SLGA","Soil","TERN","Bulk Density - Whole Earth","EV","Estimated value of Bulk Density - Whole Earth for 1 to 2 metres","g/cm3","Estimated value of Bulk Density - Whole Earth for 1 to 2 metres",1,2,"D:/TERNSoils/National_digital_soil_property_maps/Bulk-Density/BDW_100_200_EV_N_P_AU_NAT_C_20140801.tif","https://esoil.io/TERNLandscapes/Public/Products/TERN/SLGA/BDW/BDW_100_200_EV_N_P_AU_NAT_C_20140801.tif","https://www.clw.csiro.au/aclep/soilandlandscapegrid/index.html"
"SLGA","Soil","TERN","Bulk Density - Whole Earth","Uncert_95","95th percentile uncertainty bound of Bulk Density - Whole Earth for 0 to 0.05 metres","g/cm3","95th percentile uncertainty bound of Bulk Density - Whole Earth for 0 to 0.05 metres",0,0.05,"D:/TERNSoils/National_digital_soil_property_maps/Bulk-Density/BDW_000_005_95_N_P_AU_NAT_C_20140801.tif","https://esoil.io/TERNLandscapes/Public/Products/TERN/SLGA/BDW/BDW_000_005_95_N_P_AU_NAT_C_20140801.tif","https://www.clw.csiro.au/aclep/soilandlandscapegrid/index.html"
"SLGA","Soil","TERN","Bulk Density - Whole Earth","Uncert_95","95th percentile uncertainty bound of Bulk Density - Whole Earth for 0.05 to 0.15 metres","g/cm3","95th percentile uncertainty bound of Bulk Density - Whole Earth for 0.05 to 0.15 metres",0.05,0.15,"D:/TERNSoils/National_digital_soil_property_maps/Bulk-Density/BDW_005_015_95_N_P_AU_NAT_C_20140801.tif","https://esoil.io/TERNLandscapes/Public/Products/TERN/SLGA/BDW/BDW_005_015_95_N_P_AU_NAT_C_20140801.tif","https://www.clw.csiro.au/aclep/soilandlandscapegrid/index.html"
"SLGA","Soil","TERN","Bulk Density - Whole Earth","Uncert_95","95th percentile uncertainty bound of Bulk Density - Whole Earth for 0.15 to 0.3 metres","g/cm3","95th percentile uncertainty bound of Bulk Density - Whole Earth for 0.15 to 0.3 metres",0.15,0.3,"D:/TERNSoils/National_digital_soil_property_maps/Bulk-Density/BDW_015_030_95_N_P_AU_NAT_C_20140801.tif","https://esoil.io/TERNLandscapes/Public/Products/TERN/SLGA/BDW/BDW_015_030_95_N_P_AU_NAT_C_20140801.tif","https://www.clw.csiro.au/aclep/soilandlandscapegrid/index.html"
"SLGA","Soil","TERN","Bulk Density - Whole Earth","Uncert_95","95th percentile uncertainty bound of Bulk Density - Whole Earth for 0.3 to 0.6 metres","g/cm3","95th percentile uncertainty bound of Bulk Density - Whole Earth for 0.3 to 0.6 metres",0.3,0.6,"D:/TERNSoils/National_digital_soil_property_maps/Bulk-Density/BDW_030_060_95_N_P_AU_NAT_C_20140801.tif","https://esoil.io/TERNLandscapes/Public/Products/TERN/SLGA/BDW/BDW_030_060_95_N_P_AU_NAT_C_20140801.tif","https://www.clw.csiro.au/aclep/soilandlandscapegrid/index.html"
"SLGA","Soil","TERN","Bulk Density - Whole Earth","Uncert_95","95th percentile uncertainty bound of Bulk Density - Whole Earth for 0.6 to 1 metres","g/cm3","95th percentile uncertainty bound of Bulk Density - Whole Earth for 0.6 to 1 metres",0.6,1,"D:/TERNSoils/National_digital_soil_property_maps/Bulk-Density/BDW_060_100_95_N_P_AU_NAT_C_20140801.tif","https://esoil.io/TERNLandscapes/Public/Products/TERN/SLGA/BDW/BDW_060_100_95_N_P_AU_NAT_C_20140801.tif","https://www.clw.csiro.au/aclep/soilandlandscapegrid/index.html"
"SLGA","Soil","TERN","Bulk Density - Whole Earth","Uncert_95","95th percentile uncertainty bound of Bulk Density - Whole Earth for 1 to 2 metres","g/cm3","95th percentile uncertainty bound of Bulk Density - Whole Earth for 1 to 2 metres",1,2,"D:/TERNSoils/National_digital_soil_property_maps/Bulk-Density/BDW_100_200_95_N_P_AU_NAT_C_20140801.tif","https://esoil.io/TERNLandscapes/Public/Products/TERN/SLGA/BDW/BDW_100_200_95_N_P_AU_NAT_C_20140801.tif","https://www.clw.csiro.au/aclep/soilandlandscapegrid/index.html"
"SLGA","Soil","TERN","Clay Content","Uncert_05","5th percentile uncertainty bound of Clay Content for 0 to 0.05 metres","%","5th percentile uncertainty bound of Clay Content for 0 to 0.05 metres",0,0.05,"D:/TERNSoils/National_digital_soil_property_maps/Clay/CLY_000_005_05_N_P_AU_NAT_C_20140801.tif","https://esoil.io/TERNLandscapes/Public/Products/TERN/SLGA/CLY/CLY_000_005_05_N_P_AU_NAT_C_20140801.tif","https://www.clw.csiro.au/aclep/soilandlandscapegrid/index.html"
"SLGA","Soil","TERN","Clay Content","Uncert_05","5th percentile uncertainty bound of Clay Content for 0.05 to 0.15 metres","%","5th percentile uncertainty bound of Clay Content for 0.05 to 0.15 metres",0.05,0.15,"D:/TERNSoils/National_digital_soil_property_maps/Clay/CLY_005_015_05_N_P_AU_NAT_C_20140801.tif","https://esoil.io/TERNLandscapes/Public/Products/TERN/SLGA/CLY/CLY_005_015_05_N_P_AU_NAT_C_20140801.tif","https://www.clw.csiro.au/aclep/soilandlandscapegrid/index.html"
"SLGA","Soil","TERN","Clay Content","Uncert_05","5th percentile uncertainty bound of Clay Content for 0.15 to 0.3 metres","%","5th percentile uncertainty bound of Clay Content for 0.15 to 0.3 metres",0.15,0.3,"D:/TERNSoils/National_digital_soil_property_maps/Clay/CLY_015_030_05_N_P_AU_NAT_C_20140801.tif","https://esoil.io/TERNLandscapes/Public/Products/TERN/SLGA/CLY/CLY_015_030_05_N_P_AU_NAT_C_20140801.tif","https://www.clw.csiro.au/aclep/soilandlandscapegrid/index.html"
"SLGA","Soil","TERN","Clay Content","Uncert_05","5th percentile uncertainty bound of Clay Content for 0.3 to 0.6 metres","%","5th percentile uncertainty bound of Clay Content for 0.3 to 0.6 metres",0.3,0.6,"D:/TERNSoils/National_digital_soil_property_maps/Clay/CLY_030_060_05_N_P_AU_NAT_C_20140801.tif","https://esoil.io/TERNLandscapes/Public/Products/TERN/SLGA/CLY/CLY_030_060_05_N_P_AU_NAT_C_20140801.tif","https://www.clw.csiro.au/aclep/soilandlandscapegrid/index.html"
"SLGA","Soil","TERN","Clay Content","Uncert_05","5th percentile uncertainty bound of Clay Content for 0.6 to 1 metres","%","5th percentile uncertainty bound of Clay Content for 0.6 to 1 metres",0.6,1,"D:/TERNSoils/National_digital_soil_property_maps/Clay/CLY_060_100_05_N_P_AU_NAT_C_20140801.tif","https://esoil.io/TERNLandscapes/Public/Products/TERN/SLGA/CLY/CLY_060_100_05_N_P_AU_NAT_C_20140801.tif","https://www.clw.csiro.au/aclep/soilandlandscapegrid/index.html"
"SLGA","Soil","TERN","Clay Content","Uncert_05","5th percentile uncertainty bound of Clay Content for 1 to 2 metres","%","5th percentile uncertainty bound of Clay Content for 1 to 2 metres",1,2,"D:/TERNSoils/National_digital_soil_property_maps/Clay/CLY_100_200_05_N_P_AU_NAT_C_20140801.tif","https://esoil.io/TERNLandscapes/Public/Products/TERN/SLGA/CLY/CLY_100_200_05_N_P_AU_NAT_C_20140801.tif","https://www.clw.csiro.au/aclep/soilandlandscapegrid/index.html"
"SLGA","Soil","TERN","Clay Content","EV","Estimated value of Clay Content for 0 to 0.05 metres","%","Estimated value of Clay Content for 0 to 0.05 metres",0,0.05,"D:/TERNSoils/National_digital_soil_property_maps/Clay/CLY_000_005_EV_N_P_AU_NAT_C_20140801.tif","https://esoil.io/TERNLandscapes/Public/Products/TERN/SLGA/CLY/CLY_000_005_EV_N_P_AU_NAT_C_20140801.tif","https://www.clw.csiro.au/aclep/soilandlandscapegrid/index.html"
"SLGA","Soil","TERN","Clay Content","EV","Estimated value of Clay Content for 0.05 to 0.15 metres","%","Estimated value of Clay Content for 0.05 to 0.15 metres",0.05,0.15,"D:/TERNSoils/National_digital_soil_property_maps/Clay/CLY_005_015_EV_N_P_AU_NAT_C_20140801.tif","https://esoil.io/TERNLandscapes/Public/Products/TERN/SLGA/CLY/CLY_005_015_EV_N_P_AU_NAT_C_20140801.tif","https://www.clw.csiro.au/aclep/soilandlandscapegrid/index.html"
"SLGA","Soil","TERN","Clay Content","EV","Estimated value of Clay Content for 0.15 to 0.3 metres","%","Estimated value of Clay Content for 0.15 to 0.3 metres",0.15,0.3,"D:/TERNSoils/National_digital_soil_property_maps/Clay/CLY_015_030_EV_N_P_AU_NAT_C_20140801.tif","https://esoil.io/TERNLandscapes/Public/Products/TERN/SLGA/CLY/CLY_015_030_EV_N_P_AU_NAT_C_20140801.tif","https://www.clw.csiro.au/aclep/soilandlandscapegrid/index.html"
"SLGA","Soil","TERN","Clay Content","EV","Estimated value of Clay Content for 0.3 to 0.6 metres","%","Estimated value of Clay Content for 0.3 to 0.6 metres",0.3,0.6,"D:/TERNSoils/National_digital_soil_property_maps/Clay/CLY_030_060_EV_N_P_AU_NAT_C_20140801.tif","https://esoil.io/TERNLandscapes/Public/Products/TERN/SLGA/CLY/CLY_030_060_EV_N_P_AU_NAT_C_20140801.tif","https://www.clw.csiro.au/aclep/soilandlandscapegrid/index.html"
"SLGA","Soil","TERN","Clay Content","EV","Estimated value of Clay Content for 0.6 to 1 metres","%","Estimated value of Clay Content for 0.6 to 1 metres",0.6,1,"D:/TERNSoils/National_digital_soil_property_maps/Clay/CLY_060_100_EV_N_P_AU_NAT_C_20140801.tif","https://esoil.io/TERNLandscapes/Public/Products/TERN/SLGA/CLY/CLY_060_100_EV_N_P_AU_NAT_C_20140801.tif","https://www.clw.csiro.au/aclep/soilandlandscapegrid/index.html"
"SLGA","Soil","TERN","Clay Content","EV","Estimated value of Clay Content for 1 to 2 metres","%","Estimated value of Clay Content for 1 to 2 metres",1,2,"D:/TERNSoils/National_digital_soil_property_maps/Clay/CLY_100_200_EV_N_P_AU_NAT_C_20140801.tif","https://esoil.io/TERNLandscapes/Public/Products/TERN/SLGA/CLY/CLY_100_200_EV_N_P_AU_NAT_C_20140801.tif","https://www.clw.csiro.au/aclep/soilandlandscapegrid/index.html"
"SLGA","Soil","TERN","Clay Content","Uncert_95","95th percentile uncertainty bound of Clay Content for 0 to 0.05 metres","%","95th percentile uncertainty bound of Clay Content for 0 to 0.05 metres",0,0.05,"D:/TERNSoils/National_digital_soil_property_maps/Clay/CLY_000_005_95_N_P_AU_NAT_C_20140801.tif","https://esoil.io/TERNLandscapes/Public/Products/TERN/SLGA/CLY/CLY_000_005_95_N_P_AU_NAT_C_20140801.tif","https://www.clw.csiro.au/aclep/soilandlandscapegrid/index.html"
"SLGA","Soil","TERN","Clay Content","Uncert_95","95th percentile uncertainty bound of Clay Content for 0.05 to 0.15 metres","%","95th percentile uncertainty bound of Clay Content for 0.05 to 0.15 metres",0.05,0.15,"D:/TERNSoils/National_digital_soil_property_maps/Clay/CLY_005_015_95_N_P_AU_NAT_C_20140801.tif","https://esoil.io/TERNLandscapes/Public/Products/TERN/SLGA/CLY/CLY_005_015_95_N_P_AU_NAT_C_20140801.tif","https://www.clw.csiro.au/aclep/soilandlandscapegrid/index.html"
"SLGA","Soil","TERN","Clay Content","Uncert_95","95th percentile uncertainty bound of Clay Content for 0.15 to 0.3 metres","%","95th percentile uncertainty bound of Clay Content for 0.15 to 0.3 metres",0.15,0.3,"D:/TERNSoils/National_digital_soil_property_maps/Clay/CLY_015_030_95_N_P_AU_NAT_C_20140801.tif","https://esoil.io/TERNLandscapes/Public/Products/TERN/SLGA/CLY/CLY_015_030_95_N_P_AU_NAT_C_20140801.tif","https://www.clw.csiro.au/aclep/soilandlandscapegrid/index.html"
